(BizFavoriteCliDialog.java:107) : codNum : C2356, codType : CM, codName : CHG-CLI-LOG
(BizFavoriteCliDialog.java:107) : codNum : C2357, codType : CM, codName : DIS-LONGSN-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2358, codType : CM, codName : CHG-LONGSN-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2359, codType : CM, codName : DIS-CRASH-RPT
(BizFavoriteCliDialog.java:107) : codNum : C2360, codType : CM, codName : CHG-CRASH-RPT
(BizFavoriteCliDialog.java:107) : codNum : C2361, codType : CM, codName : DIS-WEBAUTH-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2362, codType : CM, codName : CHG-WEBAUTH-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2363, codType : CM, codName : DIS-LOG-RPT
(BizFavoriteCliDialog.java:107) : codNum : C2364, codType : CM, codName : CHG-LOG-RPT
(BizFavoriteCliDialog.java:107) : codNum : C2365, codType : CM, codName : DIS-CMP-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2366, codType : CM, codName : CHG-CMP-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2367, codType : CM, codName : DIS-ROLLBACK-TIMER
(BizFavoriteCliDialog.java:107) : codNum : C2368, codType : CM, codName : CHG-ROLLBACK-TIMER
(BizFavoriteCliDialog.java:107) : codNum : C2371, codType : CM, codName : DIS-MGMT-PORT
(BizFavoriteCliDialog.java:107) : codNum : C2370, codType : CM, codName : SET-HOSTKEY-CFM
(BizFavoriteCliDialog.java:107) : codNum : C2372, codType : CM, codName : CHG-MGMT-PORT
(BizFavoriteCliDialog.java:107) : codNum : C2373, codType : CM, codName : DIS-ROLLBACK-STS
(BizFavoriteCliDialog.java:107) : codNum : C2374, codType : CM, codName : SET-ROLLBACKTIMER-START
(BizFavoriteCliDialog.java:107) : codNum : C2375, codType : CM, codName : SET-ROLLBACK-CONFIRM
(BizFavoriteCliDialog.java:107) : codNum : C2376, codType : CM, codName : SET-ROLLBACK-EXEC
(BizFavoriteCliDialog.java:107) : codNum : C2377, codType : CM, codName : DIS-LOCATION-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2378, codType : CM, codName : CHG-LOCATION-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2379, codType : CM, codName : DIS-AUTOREBOOT-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2380, codType : CM, codName : CHG-AUTOREBOOT-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2381, codType : CM, codName : DIS-PDCCH-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2382, codType : CM, codName : CHG-PDCCH-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2385, codType : CM, codName : DIS-MAC-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2386, codType : CM, codName : CHG-MAC-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2387, codType : CM, codName : DIS-HARQ-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2388, codType : CM, codName : CHG-HARQ-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2389, codType : CM, codName : DIS-ROHC-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2390, codType : CM, codName : CHG-ROHC-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2391, codType : CM, codName : DIS-RRM-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2393, codType : CM, codName : DIS-RRM-CONF
(BizFavoriteCliDialog.java:107) : codNum : C2392, codType : CM, codName : CHG-RRM-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2394, codType : CM, codName : CHG-RRM-CONF
(BizFavoriteCliDialog.java:107) : codNum : C2395, codType : CM, codName : DIS-GERAN-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2396, codType : CM, codName : CHG-GERAN-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2397, codType : CM, codName : DIS-GERAN-FREQ
(BizFavoriteCliDialog.java:107) : codNum : C2398, codType : CM, codName : ADD-GERAN-FREQ
(BizFavoriteCliDialog.java:107) : codNum : C2400, codType : CM, codName : DIS-IRAT-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2399, codType : CM, codName : DEL-GERAN-FREQ
(BizFavoriteCliDialog.java:107) : codNum : C2401, codType : CM, codName : CHG-IRAT-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2402, codType : CM, codName : DIS-CSFB-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2403, codType : CM, codName : CHG-CSFB-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2404, codType : CM, codName : DIS-REDIRECTION-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2405, codType : CM, codName : CHG-REDIRECTION-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2406, codType : CM, codName : DIS-NBR-UMTS
(BizFavoriteCliDialog.java:107) : codNum : C2408, codType : CM, codName : DEL-NBR-UMTS
(BizFavoriteCliDialog.java:107) : codNum : C2407, codType : CM, codName : ADD-NBR-UMTS
(BizFavoriteCliDialog.java:107) : codNum : C2409, codType : CM, codName : DIS-NBR-GSM
